Utterance,Emotion,Sentiment,Dominance
The reason he just said.,neutral,neutral,0.3008
"I-I-I saw you on stage talking to that beautiful woman, y’know Sarah?",neutral,neutral,0.0278333333333333
And I too am just a love machine.,neutral,neutral,0.1465
"Ross, let me show you where the guest room is.",neutral,neutral,0.0105999999999999
"Oh, I thought this was your party and it turns out it’s a party for Howard. He's just the sweetest little man!",surprise,positive,0.0382272727272727
"Yeah, uh-huh, a 100 dollars.",neutral,neutral,0.0532
Phoebe! I can't believe you gave them money! I thought you agreed it was totally unreasonable that they asked me for that money!,surprise,negative,0.06
"This way I'm just y'know, the exotic, generous stranger.",joy,positive,0.0938888888888889
That's always fun to be.,joy,positive,0.0884
If anything I'm making you look better!,joy,positive,0.1348571428571428
Something to think about.,neutral,neutral,0.059
For what?,neutral,neutral,0.021
Whaddya think? Today's the big day!,joy,positive,0.0603333333333333
"Oh my God. Okay, go into the bathroom, use whatever you want, just don't ever tell me what you did in there.",disgust,negative,0.0014545454545454
Thank you!,joy,positive,0.026
Where's Joey? His mom's on the phone.,neutral,neutral,0.0242857142857142
He's in the bathroom. I don't think you wanna go in there!,anger,negative,0.007
I warned you...,neutral,neutral,0.0313333333333333
Who is being loud?,anger,negative,0.197
"No, no resentment, believe me, it's worth it.",neutral,neutral,0.14975
Y'know in a relationship you have these key moments that you know you'll remember for the rest of your life?,neutral,neutral,0.06425
"Hey Joey! Aww, you remembered even though you're a big star!",joy,positive,0.0325454545454545
Do you have a dressing room?,neutral,neutral,0.0246666666666666
"Uh, well yeah-yeah, I've got all of that going on.",neutral,neutral,0.0611
"Yeah, listen uh, I want you to make sure you tell Chandler that he couldn't have been more wrong!",neutral,neutral,0.0736842105263157
"Everybody smile!  Okay, thanks a lot! Enjoy your stay at",joy,positive,0.0442727272727272
"Wow, this is so cool, you guys. The entire city is blacked out!",surprise,positive,0.1021538461538461
"Mom says it's all of Manhattan, parts of Brooklyn and Queens, and they have no idea when it's coming back on.",anger,negative,0.0966666666666666
"Wow, you guys, this is big.",surprise,positive,0.155
Power company guys?,anger,negative,0.547
Eligible looters?,anger,negative,0.018
Having a swim.,neutral,neutral,0.0193333333333333
Are you sure?,neutral,neutral,0.1953333333333333
I don’t know. Should we try it?,neutral,neutral,0.2052857142857143
Sure.,neutral,neutral,0.586
You guys feel safe.,neutral,neutral,0.2005
Right?,neutral,neutral,0.42
I just have to clean that up.,neutral,neutral,0.1808571428571428
"Well, that’s just the way that goes.",neutral,neutral,0.0731428571428571
Where is Leslie?,fear,negative,0.016
"Well, you can’t answer.",neutral,neutral,0.1175
"I don’t know, I hardly ever say that about people.",neutral,neutral,0.0261
"Ohh, well, this is just perfect!",anger,negative,0.1821666666666666
"Well, maybe it won’t work out. Maybe Ross won’t like her personality.",sadness,negative,0.0255
"Oh no, Bonnie’s the best!",joy,positive,0.0904
"Sure. What? About uh, you showering with your mom?",surprise,negative,0.1247777777777777
"I actually had a topic in mind! I’m, I’m kinda going through a dry spell, sex wise.",anger,negative,0.0489999999999999
"Excellent! Excellent! And uh, finally, are you into any weird stuff y’know, sexually?",joy,positive,0.0569230769230769
"Oooh, wrong answer.",neutral,neutral,0.0106666666666666
I have the lung capacity of a two year old.,neutral,neutral,0.0694
Well it’s very unsettling.,sadness,negative,0.04625
"Do you still have that, um, Navy uniform?",joy,positive,0.012
I think I have an old band uniform from high school.,joy,positive,0.116
"You remember not having sex in high school, right?",sadness,negative,0.1366666666666666
"Well honey, what about you?",neutral,neutral,0.0336
"I mean do you have any fun, you know, fantasy type things?",neutral,neutral,0.0543333333333333
Come on you gotta have one!,surprise,positive,0.0163333333333333
Not at these prices.,anger,negative,0.0175
"Oh! Ohhhhh! Oh! Phoebe, come here. Aw, this is my new bed. You gotta feel this bad boy.",joy,positive,0.0035
"Eh, Monica it, it feels so weird, y'know, Chandler’s your friend...  Oh!",surprise,positive,0.0308461538461538
"You know, ever since I was little, I've been able to pick up quarters with my toes.",joy,positive,0.0356470588235294
"By the way, Chandler. I cut you out of all my pictures. So if you want, I have a bag with just your heads.",anger,negative,0.0275
"Oh, are you sure?",surprise,positive,0.1465
"Well, I think it's perfect.",joy,positive,0.2014
"Y'know, it's just gonna be the two of us, she spent all day taking care of my monkey...",neutral,neutral,0.0202777777777777
"Anyway, I figured after work I'd go pick up a bottle of wine, go over there and, uh, try to woo her.",joy,positive,0.0404545454545454
"Car's waiting downstairs, I just wanted to drop off these copies of my book for your friends. Anything you want from Lisbon?",neutral,neutral,0.0096818181818181
"No, just knowing you're gonna be there is enough.",neutral,neutral,0.0728888888888889
"Alright, well, be good, I love you.",joy,positive,0.0874285714285714
You kissed my best Ross! ...Or something to that effect.,anger,negative,0.0668
And I don't even know how it happened.,sadness,negative,0.05225
"I'm sorry, honey, I promise it will never happen again.",sadness,negative,0.0121999999999999
Are we okay now?,fear,negative,0.0537499999999999
"Shh. He did it. He told her off, and not just about the kiss, about everything.",neutral,neutral,0.1094375
"No, no. He said ""When are you gonna grow up and start being a mom?""",neutral,neutral,0.1336
Oh there it is.,neutral,neutral,0.012
"I know, but that creep that I went on that date with goes to there so I have to find a new one.",disgust,negative,0.0102608695652173
"I also have to find a new video store, a new bank, a new adult bookstore, a new grocery store",disgust,negative,0.0653
The universe said I was going to meet a nice guy and that’s what they gave me?,anger,negative,0.0723529411764706
When I get up there I’m going to kick some ass.,anger,negative,0.0856363636363636
"Don’t worry Phoebe, you’re gonna meet someone. If I can meet a great guy, so can you.",neutral,neutral,0.0141176470588235
"Yeah, we both can. And we both will.",neutral,neutral,0.10175
"Oh, you didn’t have to come in with me.",neutral,neutral,0.0335555555555555
"I’m sorry, it’s just that you’re so incredibly beautiful.",surprise,positive,0.0317777777777777
"I hope you don’t think I’m crazy but I feel like I was meant to pick this up, do you believe in that kind of thing?",joy,positive,0.0416153846153846
I-I-I’d love to. Let me just tell my friend.,joy,positive,0.048
Monica! Stop throwing it so hard! We're on the same team!,anger,negative,0.0561818181818181
That's right baby.,joy,positive,0.1099999999999999
"All right, let me in.",neutral,neutral,0.0881999999999999
He's a dropper!,anger,negative,0.0093333333333333
"Oh yeah, that's right!",anger,negative,0.0745
It's throwing and catching!,anger,negative,0.072
Oh! Oh! That's so hard.,surprise,positive,0.0464
Oh my—Oh good God!,surprise,negative,0.21
"I give up you guys, I don't know what I'm going to do with this thing!",anger,negative,0.022625
"All right, well the place was closed. I’ll just copy it later.",neutral,neutral,0.00925
"Or not. Uh, Rach, why don’t you just move in with me?",neutral,neutral,0.0481666666666666
"Thursday’s clearly not good for ya, pick a day!",joy,positive,0.0259999999999999
"Just admit it Chandler, you have no backhand.",neutral,neutral,0.0915
I was shrieking... like a Marine.,neutral,neutral,0.0416666666666666
All right here. Watch me execute the three ‘P’s of championship play. Power.  Precision.  and penache.,neutral,neutral,0.1826111111111111
She's not much of a phone person.,neutral,neutral,0.01
"Yeah, so, uh, so, uh, what's the deal with this father guy, I mean, if someone was havin' my baby somewhere, I'd wanna know about it, you know?",neutral,neutral,0.0449999999999999
"Hey, Knick fan, am I interested in your views on fatherhood? Uh, no.",anger,negative,0.0397692307692307
"Ok, look, maybe I should just go.",neutral,neutral,0.105
Maybe you should.,anger,negative,0.031
You know what the Celtics problem is? They let the players run the team.,neutral,neutral,0.0732142857142857
"Oh, that is so not true.",neutral,neutral,0.1003333333333333
"Oh, it is.",neutral,neutral,0.016
It is.,neutral,neutral,0.024
It’s a great class.,joy,positive,0.166
"Oh, I wish there was something I can do to make you feel better.",sadness,negative,0.0814285714285714
Of course!,joy,positive,0.017
"Well, it just hurts so bad. I uh",sadness,negative,6.938893903907228e-18
"Well, I umm, I mean this is just off the top of my head now, umm but I have this friend.",neutral,neutral,0.0284285714285714
"This actor friend and he would kill me if he thought I was doing this umm, but umm would it be possible for him to get an audition for your movie say on Thursday?",fear,negative,0.0583529411764706
Absolutely! But you-you would really feel better about me rejecting you if your actor friend can audition for my movie?,surprise,positive,0.1188999999999999
"Well, the heart wants what it wants. I’ll see you later.",neutral,neutral,0.0185454545454545
"Okay, I got that. I’ll escape over there. I’ll come back over here. All right, come on",neutral,neutral,0.1132941176470588
"Hey, you guys. Listen, I’m sorry that I was hogging the game before——Oh my God! Your friends have some unfortunate initials!",sadness,negative,0.0024285714285714
They’re all Chandler.,neutral,neutral,0.1049999999999999
Chandler sucks! He couldn’t have gotten this good!,surprise,negative,0.01325
But Ben is coming over tonight and he can’t see this.,fear,negative,0.0782727272727272
"Oh come on, by age seven kids have already seen orgies.  Was it just me?!",surprise,negative,0.02575
Sure!,joy,positive,0.586
"Okay, I was thinking we should have a beautiful guest room, right?",neutral,neutral,0.1484166666666666
"Well, I like that idea.",joy,positive,0.0895999999999999
Obviously!,joy,positive,0.133
"I mean you can buy old arcade games like uh, like",neutral,neutral,0.0132727272727272
"Okay so you mean no as in, ""Gee Chandler, what an interesting idea. Let’s discuss it before we reject it completely.""",joy,positive,0.0523333333333333
"Oh, I’m sorry. Of course I mean that. Interesting idea, umm, talk about it, but no.",disgust,negative,0.021
I just don’t think arcade games go in the beautiful guest room. The beautiful guest room is gonna be filled with antiques.,neutral,neutral,0.0688181818181818
What do you have against the beautiful guest room?,anger,negative,0.0406666666666666
"I don’t have anything against the beautiful guest room, especially since everybody we know lives about 30 seconds away!",anger,negative,0.0527894736842105
"No, I’m not mocking you,  or you beautiful guest room.",neutral,neutral,0.0081818181818181
"Y'know, I love doing crossword puzzles with you honey!",joy,positive,0.0237777777777777
Yes! You are so smart!  I love you.,joy,positive,0.1292222222222222
I love you too.,joy,positive,0.0585
"I never sucked, I actually didn't want you to know how good I was!",neutral,neutral,0.0452857142857142
This is so great! Now we can enter into doubles tournaments!,joy,positive,0.1259090909090909
"No! No-no! He is totally incompetent. I called the chef who recommended him to me. He said, ""Ha-ha! Gotcha!""",disgust,negative,0.0472105263157894
What?! You said he was sweet!,surprise,negative,0.0533333333333333
He,neutral,neutral,0.556
Just don’t pick up your phone.,neutral,neutral,0.2041666666666667
"Then he comes over!  ""I’m so worried about you."" Uck! Be a man!",disgust,negative,0.0849285714285714
What? So now I’m not allowed to fire him?,surprise,negative,0.0721111111111111
"You can’t fire him and dump him the same day, he’ll kill himself.",sadness,negative,0.0396923076923076
"Okay well, then we’ll both do it today and he’ll just have to deal with it!",neutral,neutral,0.0199999999999999
This is the final boarding call for Flight 664 to Yemen.,neutral,neutral,0.0421818181818181
"Well, just until we find an energy source to replace fuel.",neutral,neutral,0.240090909090909
"Oh. Well, I’ll right you everyday.  15 Yemen Road, Yemen.",neutral,neutral,0.0316363636363636
"Well, I then guess I’m going to Yemen! I’m going to Yemen!  When we get to Yemen, can I stay with you?",joy,positive,0.0293478260869565
"Hey—Ooh, how’s Hilda? Is she working out?",neutral,neutral,0.0285714285714285
"Ohh, my new assistant is working out, yes.",neutral,neutral,0.033625
Was she happy you gave her the job?,neutral,neutral,0.103
"Oh, my-my new assistant was very happy that I hired my new assistant.",neutral,neutral,0.0883846153846153
It’s the producers over at Mac and C.H.E.E.S.E.,neutral,neutral,0.132875
"Hey, funny you should call.",joy,positive,0.0944
I was just looking over next week’s script.,neutral,neutral,0.142125
"All right, see you Monday.",neutral,neutral,0.0901999999999999
"All right, bye!",anger,negative,0.1563333333333333
Why would they do that?! It was a good show right?!,surprise,negative,0.0514545454545454
It’s so secluded up here.,neutral,neutral,0.0358
I know. I like it up here.,joy,positive,0.1427142857142857
"No-no! Big bear! Big bear outside! I think I-I—would you—actually, would you go check on that?",fear,negative,0.0715
"Honey, we don’t have any bears here.",neutral,neutral,0.1022857142857142
"Well, okay. Would-would you get me a",neutral,neutral,0.0354285714285714
Get up!,anger,negative,0.445
Here you go honey!,joy,positive,0.0127499999999999
What the hell was that?!,anger,negative,0.026
A lesson in the importance of unagi.,neutral,neutral,0.1305714285714285
"All right, so we weren’t",neutral,neutral,0.2488
"I’m sorry I had to take such drastic measures to make my point, but I—look, I just want you guys to be safe.",neutral,neutral,0.0184347826086956
Yes! It’s flown into your blouse and you’d better undo your buttons lest it sting you!,anger,negative,0.0233124999999999
I think I know what’s going on here.,disgust,negative,0.105375
You do?,neutral,neutral,0.036
"Look, I know it must be hard that your wife is a lesbian, but it’s wrong. You’re married.",disgust,negative,0.0831666666666666
I totally understand.  Can I,neutral,neutral,0.0996666666666666
"All right, let's do it!",joy,positive,0.1025999999999999
"I know, it was the best I could get out of them.",neutral,neutral,0.0726666666666666
"Well, people!",sadness,negative,0.074
Show 'em how it's done.,neutral,neutral,0.1467999999999999
So what did he decide? Does your Uncle Nathan get an invite or not?,neutral,neutral,0.1363571428571428
"Ohh, God, nobody likes him, and he’s so cheap, he’d never fly to London in a million years.",disgust,negative,0.0134999999999999
"Yeah, invite him?",neutral,neutral,0.0456666666666666
"Yeah, they’re fine.",neutral,neutral,0.0573333333333333
Sure. Why not?,neutral,neutral,0.0999999999999999
I don’t think I’d be comfortable with any of my old lovers there.,sadness,negative,0.0525384615384615
"Wait-wait-wait, do you, do you think, maybe we shouldn’t invite her?",fear,negative,0.0556363636363636
"Oh, no-no, y’know I absolutely adore Rachel it’s just that, well it might be a awkward for you.",sadness,negative,0.1491666666666666
But it’s absolutely your decision.,neutral,neutral,0.354
More tea?,neutral,neutral,0.2239999999999999
Yeah sure.,neutral,neutral,0.2319999999999999
Earl Grey?,neutral,neutral,0.089
Hey! So how was the doctor?,neutral,neutral,0.1236666666666666
"Oh, everything went great.",joy,positive,0.155
Good.,neutral,neutral,0.068
"Oh hey, show them the picture of your uterus.",neutral,neutral,0.0405555555555555
"Oh no, I know I couldn’t see it either at first, but it’s right umm…  Ross, I lost it again.",joy,positive,0.0122857142857142
I think I know who you’re talking about.,neutral,neutral,0.0804999999999999
"Oh yay! Great! Okay, what room number is he in?",joy,positive,0.0512
"I’m sorry, that information is restricted to hospital staff",neutral,neutral,0.0175555555555555
Remoray. It’s Portuguese. We need that information. I’m a doctor.,neutral,neutral,0.1035
A doctor at this hospital?,surprise,negative,0.1835999999999999
Damnit woman we’re losing precious time! Now do you want this man’s blood on your head?,anger,negative,0.0593125
It is absolutely essential that you tell me what room the man my assistant described is staying in.,neutral,neutral,0.0611666666666666
"816, thank you!",joy,positive,0.0173333333333333
Thank you.,neutral,neutral,0.026
Rachel was just helping me out. My head got all sunburned.,neutral,neutral,0.0951818181818181
Thanks a million.,joy,positive,0.182
"Oh, you’re welcome a million.",joy,positive,0.1903999999999999
Oh my God.,surprise,positive,0.2573333333333333
"Well, I-I gotta go break up with Bonnie.",sadness,negative,0.0415
Here?! Now?!,surprise,negative,0.0875
"Well, yeah.",neutral,neutral,0.0129999999999999
"Ohh, man! Chicago, is sooo lucky!",joy,positive,0.0639999999999999
"Rachel, one of your customers seems to have left his billfold. A Joshua Bergen.",neutral,neutral,0.0180714285714285
Will you call him?,neutral,neutral,0.15575
Yes!,joy,positive,0.083
I will!,joy,positive,0.235
Absolutely!,joy,positive,0.833
Oh my God! That is so good!,joy,positive,0.1268571428571428
"I’m full, and yet I know if I stop eating this, I’ll regret it.",neutral,neutral,0.0491428571428571
What do you got there?,neutral,neutral,0.0144
Dude! Dude!,surprise,negative,0.23
After she gave me that big speech?!,surprise,negative,0.1048571428571428
She goes and makes a date with a guy on the same night she has plans with me?,anger,negative,0.0063333333333333
I think she’s trying to pull a fast one on Big Daddy!,anger,negative,0.1136666666666666
"Rachel! Well, you-you’re not at home, you’re-you’re-you’re right here.",surprise,positive,0.089
"Yeah I know, and I bet you thought it would be weird. But it’s not!",joy,positive,0.0038666666666666
That part was perfect for me! I can't believe I didn't get it!,anger,negative,0.0405384615384615
"Hey, y'know what you should do?",neutral,neutral,0.0493333333333333
You should make something happen for yourself.,neutral,neutral,0.1162857142857143
Write a movie!,joy,positive,0.0033333333333333
"I mean, what about those",neutral,neutral,0.048
"Come on Ross be realistic, y'know? If I did write something, what are the chances I could get those guys to star in it?",sadness,negative,0.0495
"Y'know I mean I-I-I'm an actor, I don't have the discipline that takes, y'know?",sadness,negative,0.0504285714285714
"Yeah, I'll make up a schedule and make sure you stick to it.",neutral,neutral,0.0049230769230769
"And plus, it'll give me something to do.",neutral,neutral,0.0142499999999999
"Soo, ah, Eric, what kind of photography do ya do?",neutral,neutral,0.0099999999999999
"Oh, mostly fashion, so there may be models here from time to time, I hope that’s cool.",neutral,neutral,0.1344117647058823
"Yes, that is cool. Because I have models here y'know......never.",neutral,neutral,0.1467999999999999
"Oh, yeah, during the summer, I spend most weekends at my sister’s beach house, which you are welcome to use by the way.",neutral,neutral,0.0253043478260869
"Although, I should probably tell you, she’s a porn star.",neutral,neutral,0.0379
"Well, listen I ah, still have one more person to ah meet, but unless it turns out to be your sister, I think you’re chances are pretty good.",neutral,neutral,0.0353928571428571
"All right, I…I have to ask.",sadness,negative,0.1551666666666666
Are you gonna break up with me if I get fat again?,fear,negative,0.0051666666666666
"Well, you broke up with Julie Grath! How much weight could she have gained?",anger,negative,0.0571428571428571
"Now wait a minute, you be nice! All right? I didn’t bring you here so you can ambush her.",anger,negative,0.0253684210526315
"Hi Frannie, congratulations.",neutral,neutral,0.146
"You invite my brother, you invite my whole family, and not me?!",anger,negative,0.0805
What—Why wouldn’t you want me at your wedding?,anger,negative,0.092375
I believe you know my husband.,neutral,neutral,0.1803333333333333
So it’s really a question of,neutral,neutral,0.0029999999999999
"Gary, I'm here to report a crime.",neutral,neutral,0.0789999999999999
It is a crime that you and I don't spend more time together.,neutral,neutral,0.0863076923076923
What's up?,neutral,neutral,0.278
"Well, I heard that you thinking about asking Phoebe to move in with you and I thought maybe, we should have a talk.",neutral,neutral,0.0684347826086956
Sure. Okay.,neutral,neutral,0.176
"Yeah, I-I considered that. I just know it would make me happy.",neutral,neutral,0.0845
"No, I mean happy.",neutral,neutral,0.1575
"Hey! Oh listen, I was just clearing some space for your stuff.",joy,positive,0.01075
"Oh thanks, but listen, I was just at Monica’s and she and Chandler had a big fight and they’re not moving in.",sadness,negative,0.0546363636363636
"No-no, they just had a big blowout over what to do with my room.",neutral,neutral,0.1435
"Yeah, I feel kinda bad for them, but I’m also really psyched ‘cause I don’t have to move in here!",joy,positive,0.02635
"Oh no, yeah no, that part’s great!",joy,positive,0.0711428571428571
Shut-out!!,surprise,negative,0.852
"Where are you guys going? Come on, one more game!",surprise,negative,0.0698
"Yeah, get out!",anger,negative,0.0706666666666666
You guys are always hanging out in my apartment!,anger,negative,0.0033333333333333
"Come on, wussies!",anger,negative,0.0573333333333333
"All right, ok, I gotta go.",neutral,neutral,0.1191666666666666
One more game?,neutral,neutral,0.1446666666666666
"Honey, honey, people are looking.",sadness,negative,0.008
Yeah I know what I wanted to ask you.,neutral,neutral,0.0226666666666666
"Because I can, and my Mom couldn’t, and I thought y'know, I figured that was something I got from our Dad.",neutral,neutral,0.0607142857142857
Your not doing it.,neutral,neutral,0.06475
"Oh right, yeah okay, my Mom could, and I can’t. We don’t have that....",neutral,neutral,0.0445
Where there is no fear of commitment.,neutral,neutral,0.0457142857142857
Do we have any... Do we have any thoughts here?,neutral,neutral,0.1874999999999999
"Well, I've never been through the tunnel myself, 'cause as I understand it, you're not allowed to go through with more than one girl in the car, right.",neutral,neutral,0.0553571428571428
"But, it seems to me it's pretty much like anything else, you know, face your fear.",neutral,neutral,0.0134375
"It have a fear of heights, you go to the top of the building!",fear,negative,0.0292857142857142
Right.,neutral,neutral,0.42
"In this case, you have a fear of commitment, so I say you go in there and be the most committed guy there ever was.",neutral,neutral,0.0608
"Amazingly, that makes sense.",joy,positive,0.1869999999999999
You think?,neutral,neutral,0.118
"Oh, yeah. Go for it man, jump off the high dive, stare down the barrel of the gun, pee into the wind!",joy,positive,0.0028636363636363
"Yeah, Joe, I assure you if I'm staring down the barrel of a gun, I'm pretty much peeing every which way.",fear,negative,0.0146666666666666
"Oh great! Hey-hey Joey, do you want to check out pictures of me and Mona ice skating?",joy,positive,0.0123529411764705
"Oh uh, ordinarily I would love too, but I am just swamped right now.",neutral,neutral,0.0465714285714285
Hey where-where are the pictures that creepy pretzel vendor took of us together?,neutral,neutral,0.0331538461538461
"Oh yeah, probably at the end.  Oh my God! He only took pictures of my breasts!",surprise,negative,0.0558235294117647
I’m missin’ picture time?!,joy,positive,0.0355
"Okay. Okay, here’s a good one of us.",joy,positive,0.0077499999999999
Wow!,joy,positive,0.166
"Do you wanna, do you wanna send this one out together?",neutral,neutral,0.0249090909090909
Together? Like-like to people?,surprise,negative,0.079
"Yeah, y’know. Happy holidays from Mona and Ross. It’ll be cute, okay?",joy,positive,0.0065
"Oh, I gotta get to work. So call me later?",neutral,neutral,0.0604
"Uh sure, sure.",neutral,neutral,0.3906666666666666
"I mean, I don’t feel like I even have a girlfriend anymore.",anger,negative,0.0426666666666666
You want me to just quit my job so that you can feel like you’ve got a girlfriend?,anger,negative,0.0738888888888888
Is this about Mark?,neutral,neutral,0.062
Oh my God.,surprise,negative,0.2573333333333333
"Oh my God. I cannot keep having this same fight with you Ross! Look, urrgh, maybe we should take a break.",sadness,negative,0.0626666666666666
"Fine, you’re right.",neutral,neutral,0.238
No. A break from us.,sadness,negative,0.0924
"Bing! We’re all set for tonight, 8 o’clock.",joy,positive,0.063125
"Oh uh, as it turns out, we can’t do it. Monica has to work.",joy,positive,0.0680714285714285
"Oh, my ex-wife didn’t work, unless you call turning into her mother work. Fine. Tomorrow night then.",neutral,neutral,0.0406470588235294
Oh uh well tomorrow’s no good for her either.,neutral,neutral,0.004
Well now-now you’re just talking crazy.,joy,positive,0.0523333333333333
So why can’t the three of us go out together?,neutral,neutral,0.0394
Because uh…we-we…we split up. Monica and I split up. Hold me.,sadness,negative,0.0436363636363636
"Good God Bing I…well I can’t say I’m altogether surprised, I saw the way she looked at you, and there was no love there.",sadness,negative,0.0462499999999999
"And the way she looked at me, pure lust.",joy,positive,0.02
Y’know what would really help me through this tough time is choking something. Can I choke ya?,anger,negative,0.0572941176470588
"Bing my boy, we’re gonna get you over this.",neutral,neutral,0.0841111111111111
"Now here’s the plan, grab your coat, we’re going to a strip club.",joy,positive,0.0322307692307692
": Step away from the crib,    I have a weapon!",anger,negative,0.0046153846153846
"Well, I heard Emma stirring, so I came to make sure she could    reach Hugsy.",neutral,neutral,0.0311111111111111
"Oh, oh thanks. Alright well, now that I'm up I'm going to go    to the bathroom.",neutral,neutral,0.0152631578947368
There you go sweetie...     This isn't over.,neutral,neutral,0.053
Did he call?,neutral,neutral,0.224
Why?! Why?! He said he’d call. Why hasn’t he called?,sadness,negative,0.037
"Maybe he’s intimated by really smart, strong, successful women.",neutral,neutral,0.2385555555555555
"Okay, okay. Umm, well ah, maybe he, maybe he feels awkward because you are my boss.",neutral,neutral,0.024875
Awkward? Why should he feel awkward?,surprise,negative,0.0656666666666666
"The only person that should feel awkward is you, and you didn’t tell him not to call me, did you?",anger,negative,0.0399
"Because if you feel uncomfortable with your friend dating someone you work for, there are always ways to fix...that.",anger,negative,0.0183684210526315
"I mean, all I’m asking for is just a little emotion!",anger,negative,0.0980909090909091
I mean what?,anger,negative,0.08
I mean do we not have as much fun?!,anger,negative,0.1434444444444444
"I mean we-we told Joey, he cried his eyes out!",sadness,negative,0.0134
Come on!,sadness,negative,0.086
No more J-man and Channie’s!,sadness,negative,0.1416
"Okay, I gotta ask, who calls us that?!",anger,negative,0.0635
Do I know why we’re rushing?,neutral,neutral,0.042
"Well it turns out she ah, she wants to get back together with me.",neutral,neutral,0.045
That’s so great for you guys!,joy,positive,0.1256666666666666
"Good luck, with your girlfriend.",neutral,neutral,0.1938
"Yeah, oh hey, you are right on time.",neutral,neutral,0.0369999999999999
So what do you say? Can I be your girlfriend again?,neutral,neutral,0.050090909090909
"Yes, you can, very much.",joy,positive,0.014
Do,neutral,neutral,0.072
DO YOU?,anger,negative,0.036
Y’know I don’t understand why they didn’t cry. It was a beautiful speech.,sadness,negative,0.014
"Oh, come on.",disgust,negative,0.0573333333333333
"All that stuff you said about true love, you were right, I mean, we did learn a lot from Mom and Dad!",joy,positive,0.1403636363636363
And you know what?,neutral,neutral,0.102
I think she was.,neutral,neutral,0.059
"Oh good God, Ross! How the hell do you do it?",surprise,negative,0.1281818181818182
You forget how many great songs Heart had.,neutral,neutral,0.09
"You know, Barracuda was the first song I learned to play on the keyboard.",neutral,neutral,0.04
"Oh, you guys, with this joke. I gotta say, I know I cracked up, but I’m not even sure I got it.",neutral,neutral,0.0315454545454545
"What, you didn’t get it? The doctor is a monkey.",neutral,neutral,0.067
You are not allowed to laugh at my joke.,anger,negative,0.0128888888888888
"Oh, I think I saw some in here.",neutral,neutral,0.0518749999999999
What is it?!,surprise,negative,0.016
I can’t believe we’re living here!,sadness,negative,0.1293333333333333
"No! She had the ring on, she seemed so excited, and then she  took her breast out.",anger,negative,0.0276111111111111
"Joey, you have to tell her what’s going on! And what did it  look like?!",surprise,negative,0.017375
I didn’t look at it. Stupid baby’s head was blocking most of  it.,anger,negative,0.0321428571428571
Go and tell Rachel right now before Ross finds out.,sadness,negative,0.0174
"Look, it’s not that easy. She said she wanted to marry me. I  don’t want to hurt her.",sadness,negative,0.0052631578947368
"Okay, look, just do it gently.",neutral,neutral,0.0519999999999999
You’re right.,neutral,neutral,0.21
I-I’ll go tell her now before Ross  finds out and I’ll be gentle.,neutral,neutral,0.0028571428571428
I am a gentle person.,neutral,neutral,0.074
Two people screwing in there  if you want to check that out.,neutral,neutral,0.016
"Umm, well I would have to say that it's a, it's tragic love story.",neutral,neutral,0.0118571428571428
"Well, that's sort of a given, but yes. Anyone else?",neutral,neutral,0.0445
"Oh-oh-oh, symbolism! And uh, the-the uh, wildness of the mores, which",joy,positive,0.1065454545454545
Excellent! What Rachel has shrewdly observed here,joy,positive,0.231
You completely stole my answer!,anger,negative,0.094
"Well, honey that was pretty obvious.",sadness,negative,0.0766666666666666
Well how would you know?! You didn't even read it!,anger,negative,0.0928
"I think that uh, yours is a question with many answers.",neutral,neutral,0.0567272727272727
Are you just repeating what I'm saying?,anger,negative,0.0748571428571428
"All right, let's move on.",neutral,neutral,0.1674
"All right, okay, this is great, uh, Chandler, you get behind the desk.",neutral,neutral,0.0953076923076923
"You be Mr. Gonzalez, and I’ll be uh, Mr. Wong.",neutral,neutral,0.0216
Diverse.,neutral,neutral,0.208
Did anybody call for security?,neutral,neutral,0.1664
You be cool.,neutral,neutral,0.2233333333333333
"Way to be cool, man.",neutral,neutral,0.102
What’s he talking about?,neutral,neutral,0.139
We know you took so just-just save yourself the time and confess!,anger,negative,0.1351666666666666
The Hardy boys?,anger,negative,0.1563333333333333
Marry me.,neutral,neutral,0.173
Oh my God! Joey!,surprise,negative,0.193
Hell yeah! I’ll marry you!,joy,positive,0.0708
You can’t marry him!,anger,negative,0.0957499999999999
"Hey lady, your day’s over! It’s my turn!",anger,negative,0.10225
I can and I will!,anger,negative,0.0756
Phoebe I think he would notice if you didn’t have a baby in nine months!,anger,negative,0.0133333333333333
Now I can’t believe it! What? Rachel’s pregnant?  Who’s the father?,surprise,positive,0.0931666666666666
We don’t know.,neutral,neutral,0.2749999999999999
Ohh… I wonder if that dude.,neutral,neutral,0.1266666666666666
There’s a dude?,surprise,negative,0.0766666666666666
Who? Who is it?,surprise,negative,0.012
Was that story over?,neutral,neutral,0.26875
Oh my God! I know who the father is,surprise,negative,0.2084444444444444
People have got to finish their stories!,anger,negative,0.0394285714285714
"Oh my God, you’re back!",surprise,positive,0.0888
"Eww! Oh, it’s all dirty. You should throw this out.",disgust,negative,0.0493
"Hey, when the music starts up again, I was thinking of maybe goind into the robot, y’know?",neutral,neutral,0.0334705882352941
"Ross, I think we should stick to the routine, we don’t wanna look stupid!",joy,positive,0.045
No! Year! Happy No Year!,joy,positive,0.0099999999999999
