Utterance,Emotion,Sentiment,Arousal
"Oh, Larry.",neutral,neutral,0.0
"Umm, do health inspectors work on commission?",neutral,neutral,-0.0151428571428571
It's okay to laugh right?,joy,positive,-0.1207999999999999
Come on Joey!!!,anger,negative,-0.154
"Rach, I told you everything I knew last night!",anger,negative,-0.1113333333333333
"Look, it's not that big of a deal, so Monica and Chandler are doing it.",neutral,neutral,-0.0233999999999999
I can't believe you would say that!,sadness,negative,-0.0995714285714285
Sorry. Monica and Chandler are making love.,neutral,neutral,-0.0054285714285714
No! I mean come on! This is a,anger,negative,-0.066
I don't know.,neutral,neutral,-0.1066666666666666
You don't know anything.,anger,negative,-0.08
"Ohh, I know one thing!",joy,positive,-0.3096
They did it right there on the couch.,neutral,neutral,-0.0933749999999999
"Excuse me, look, we've been here for over an hour, and a lot of people less sick than my friend have gone in.",anger,negative,-0.1413478260869565
"I mean, that guy with the toe thing?",anger,negative,-0.171125
Who's he sleeping with?,neutral,neutral,-0.22725
"I know we both said some things we didn't mean, but that doesn't mean we still don't love each other.",neutral,neutral,-0.0518
"So you see, Molly, what people don't understand is that acting    is a discipline. It takes a lot of hard work.",neutral,neutral,-0.0322916666666666
"Oh, I didn't go to college.",neutral,neutral,-0.0306666666666666
Molly ... people don't study acting ...,neutral,neutral,-0.0334285714285714
"Molly, ah, do you mind giving us just a minute?",neutral,neutral,-0.0904
"Sure, I'll go check on Emma.",neutral,neutral,-0.109
Thanx.,neutral,neutral,0.0
Will the stable boy never get the princess??,sadness,negative,-0.08075
No ... the leather sticks to my ass.,disgust,negative,-0.078
"You know, this isn't fair.",anger,negative,-0.0328
Huh?,anger,negative,-0.338
"Look, the truth is, I haven't felt this    way about anyone since Rachel, ok?",sadness,negative,-0.0776470588235294
I didn't think I could ever love again.,sadness,negative,-0.0345
Come on! Joe!,joy,positive,-0.154
"Yeah, come on in. Molly?",neutral,neutral,-0.156
"Hey! Guys, this is Tabatha .  I'll see you tomorrow.",neutral,neutral,-0.1236363636363636
"It's like my favorite fairy tale come true!  The princess, the stable boy and the lesbian!",joy,positive,-0.1096470588235294
"And what’s cool is, the character is from Naples, right?",joy,positive,-0.047
My whole family’s from Naples!,joy,positive,-0.0571999999999999
"Oh that’s great! Okay, well I’ve heard everything I need to hear. I just need to uh, Leslie",surprise,positive,-0.0126111111111111
"Joey, this is the awkward part.",joy,positive,-0.024
Oh!,surprise,positive,0.0
Hey right!,surprise,positive,-0.251
I totally understand.,neutral,neutral,-0.136
Don’t you worry. I have nothing to hide.,neutral,neutral,-0.0812499999999999
"So there you go, that’s me.",neutral,neutral,-0.0196666666666666
One hundred percent natural!,joy,positive,-0.435
"I tell ya, that has never happened before.",fear,negative,-0.081625
This room’s available.,neutral,neutral,-0.0959999999999999
Okay wait!,anger,negative,-0.485
You listen to me!,anger,negative,-0.07
"Since I have been waiting four women, that’s four, one higher than the number of centimeters that I am dilated, have come and gone with their babies!",anger,negative,-0.1014074074074073
I’m next!,anger,negative,-0.078
It’s my turn!,anger,negative,-0.0679999999999999
Uh Rach,neutral,neutral,0.0
Go get back on that case honey!,anger,negative,-0.105
I don’t think the next patient is very far along.,neutral,neutral,-0.158
"Okay, well then bring her in.",neutral,neutral,-0.1071666666666666
OH….MY….GAWD!!!,surprise,positive,0.0
"Ross-Ross-Ross-Ross! Stay away from that guy , and that guy . And that one—Dude! They’re all huge!",fear,negative,-0.0461764705882353
They don’t look any bigger than me!,neutral,neutral,-0.0222857142857142
"Well, maybe that’s because you’re closer to you. So you look bigger to you from where you are.",anger,negative,-0.0390555555555555
All right.,neutral,neutral,-0.148
Whoa!  I kinda liked it.,joy,positive,-0.077
"Okay, I know what I have to do. I’ve got to go Red Ross.  Y’know, Red Ross!",anger,negative,-0.0318333333333333
I totally don’t know what you’re talking about.,neutral,neutral,-0.0485
Come on! The time we were all waiting in line for,anger,negative,-0.1300909090909091
Y'know you guys were a lot more supportive when I wanted to make denim furniture.,joy,positive,-0.1248
"No, Pheebs, listen, if you decide to do this, we’ll be supportive like crazy.",neutral,neutral,-0.028
"Yeah, honey, maybe you can talk to somebody who’s had a baby. Like your mom?",neutral,neutral,-0.1387333333333333
"Umm, thank you for meeting with me.",neutral,neutral,-0.0748571428571428
Thank you. All right.,neutral,neutral,-0.1475
"Come, sit.",neutral,neutral,-0.4575
Sit.,neutral,neutral,-0.453
Sit!,anger,negative,-0.453
"Umm, all righty, before we get started I just—I need you to state for the official record that you are in fact Frank Buffay.",neutral,neutral,-0.0489166666666666
Lucky sixes....,neutral,neutral,-0.236
And Joey....,neutral,neutral,0.0
And Ross.,neutral,neutral,0.0
He doesn't speak much English.,neutral,neutral,-0.0112
Look at that!,surprise,positive,-0.0216666666666666
"So, um... where did Paolo come from?",neutral,neutral,-0.0115714285714285
"Oh... Italy, I think.",neutral,neutral,-0.046
"No, I mean tonight, in the building. Suddenly. Into our lives.",neutral,neutral,-0.0379999999999999
"Well, the cat... the cat turned out to be Paolo's cat!",neutral,neutral,-0.1948181818181818
"That, that is funny... .... and Rachel keeps touching him.",neutral,neutral,-0.0155999999999999
Alright. I looked all over the building and I couldn't find the kitty anywhere.,neutral,neutral,-0.0642142857142857
"Oh, I found him. He was Paolo's cat.",neutral,neutral,-0.083875
Ah! Well! There you go! Last to know again! And I'm guessing... since nobody told me... this is Paolo.,joy,positive,-0.0882631578947368
"Ah, Paolo, this is Phoebe.",neutral,neutral,0.0
"When Mom and Dad drove you to the hospital to get your nose fixed, I swam into the lake and fished it out.",neutral,neutral,-0.0667391304347826
That cup is mine!,anger,negative,-0.129
"All right, so are we not having dinner at all?",sadness,negative,-0.0095
"You really, really need to get some sleep, honey.",neutral,neutral,-0.0791111111111111
I know I do.,neutral,neutral,-0.0455
Guess what?,neutral,neutral,-0.0139999999999999
They published my paper.,joy,positive,-0.224
"Oh, really, let me see, let me see.",joy,positive,-0.179
I told you not to go down there!,anger,negative,-0.089
That’s not true!,anger,negative,-0.0426666666666666
"All right! I’ll try! But if I can’t, you can stay with Chandler and I until you get settled.",neutral,neutral,-0.0427368421052631
Go!!,anger,negative,-0.118
"All right, all right, all right.",neutral,neutral,-0.148
"I mean I’ll have to check with him first, but I’ll think he’ll be cool with it.",neutral,neutral,-0.0641176470588235
"So, he’s just a nice guy. You really think this Mark doesn’t want anything in exchange for helping him?",joy,positive,-0.0358947368421052
"Well, I assume I’ll have to take showers with him, but y'know, that’s true of any job.",neutral,neutral,-0.0564117647058823
How ya feelin’?,neutral,neutral,0.0
"Well, my apartment isn’t there anymore, because I drank it.",neutral,neutral,-0.1274
"Yeah, I ended up in the storage room, and not alone.",neutral,neutral,-0.074
Woooo hoooo!!!,joy,positive,0.0
"Ow, no ‘woo-hooing,’ no ‘woo-hooing.’",anger,negative,0.0
"Ah, I fooled around with Joey’s sister.  Well, that’s not the worst part.",sadness,negative,-0.0702142857142857
I can’t remember which sister.,sadness,negative,-0.1016
You see what men do! Don’t tell me men are not nice!  This is men!!,anger,negative,-0.046
Nothing!,anger,negative,-1.0
"But um, I don’t think it’s anything serious.",neutral,neutral,-0.0699999999999999
This sounds like a hernia. You have to—you-you—Go to the doctor!,surprise,negative,-0.0214545454545454
No way!,anger,negative,-0.225
"‘Kay look, if I have to go to the doctor for anything it’s gonna be for this thing sticking out of my stomach!",anger,negative,-0.0510869565217391
It’s a trifle.,neutral,neutral,-0.1359999999999999
"First there’s a layer of ladyfingers, then a layer of jam, then custard, which I made from scratch.",neutral,neutral,-0.0537777777777777
"[Joey and Ross make impressed faces] Then raspberries, more ladyfingers, then beef sautéed with peas and onions, [Joey and Ross look like something’s wrong.]",neutral,neutral,-0.0999583333333333
"then a little more custard, and then bananas, and then I just put some whipped cream on top!",neutral,neutral,-0.1098888888888889
It tastes like feet!,disgust,negative,-0.321
I like it.,joy,positive,-0.1919999999999999
Does anyone else think David Copperfield is cute?,neutral,neutral,-0.104
"No, but he told me, he thinks your a fox.",neutral,neutral,-0.0328
"Oh, oh! It's on again!",joy,positive,-0.0652
"You guys, can we please not watch this all right.",disgust,negative,-0.0997
Shhhh!,anger,negative,0.0
"Folks, has this ever happened to you.",neutral,neutral,-0.0191428571428571
"You go to the refrigerator to get a nice glass of milk,  and these darn cartons are so flingin'-flangin' hard to open.",neutral,neutral,-0.0391304347826086
"Oh, you said it Mike.  Aw! There's got to be a better way!",anger,negative,-0.0557857142857142
And there is Kevin.,neutral,neutral,0.0
Can we please turn this off?,sadness,negative,-0.0551666666666666
"Noo way, Kevin.",joy,positive,-0.15
There is a revolutionary new product that guarantees that you'll never have to open up milk cartons again. Meet the Milk Master 2000.,neutral,neutral,-0.0355652173913043
You're flingin'-flangin' right I am!,joy,positive,-0.0591999999999999
"Keep in mind, he's never used this product before, you're gonna see how easy this is to do.",neutral,neutral,-0.1070555555555555
Go ahead.,neutral,neutral,-0.0389999999999999
This works with any milk carton.,neutral,neutral,-0.2033333333333333
"Wow, it is easy.  Now, I can have milk everyday.",surprise,positive,-0.2058181818181818
Good day for married people huh?,surprise,negative,-0.1873333333333333
I’m sorry your husband cheated on you.,sadness,negative,-0.0394285714285714
"Hey Ross, will you pass me that knife?",neutral,neutral,-0.028875
I can't wait to be with you!,joy,positive,-0.1634285714285714
I'll just tell Rachel I'm gonna be doing laundry for a couple of hours.,neutral,neutral,-0.0795714285714285
Laundry. Huh. Is that my new nickname?,joy,positive,-0.1081428571428571
"Awww, y'know what your nickname is, Mr. Big",joy,positive,-0.02325
Oh I’m so sorry man! Is there anything I can do?,sadness,negative,-0.0418181818181818
Yeah! Help me get this mini-fridge past the security guard.,neutral,neutral,-0.0603999999999999
"Hey Joey, I want to talk to you.",neutral,neutral,-0.02875
Yeah?,neutral,neutral,-0.318
"Oh, Chandler, Wayne.",neutral,neutral,-0.032
"Wayne, Chandler.",neutral,neutral,-0.048
"Joey, Joey, I-I-I’ll g-get you your job back if you help me out.",neutral,neutral,-0.0207692307692307
The reason he just said.,neutral,neutral,-0.018
"I-I-I saw you on stage talking to that beautiful woman, y’know Sarah?",neutral,neutral,-8.33333333333311e-05
"Ross, let me show you where the guest room is.",neutral,neutral,-0.0165999999999999
"Oh, I thought this was your party and it turns out it’s a party for Howard. He's just the sweetest little man!",surprise,positive,-0.0117727272727272
"See ya Phoebe! Oh and hey, thanks for chipping in!",joy,positive,-0.082
You chipped in?!,surprise,positive,0.0
"Yeah, uh-huh, a 100 dollars.",neutral,neutral,-0.0107999999999999
"Yeah, but they didn't ask me!",anger,negative,-0.073
Y'know?,neutral,neutral,0.0
"This way I'm just y'know, the exotic, generous stranger.",joy,positive,-0.0344444444444444
"Yeah, but you're making me look bad!",anger,negative,-0.0299999999999999
No I'm not.,neutral,neutral,0.0
No!,surprise,positive,0.0
If anything I'm making you look better!,joy,positive,-0.0097142857142857
"Oh hey, Pheebs!",joy,positive,-0.0686666666666666
"Oh hey, Ross.",neutral,neutral,-0.0686666666666666
"Umm, see, I was thinking maybe you two could switch apartments because Phoebe's more our kind of people.",fear,negative,-0.1853888888888889
Something to think about.,neutral,neutral,-0.046
"Yeah, okay, my bad.",joy,positive,-0.093
Here. I need to borrow some moisturizer.,neutral,neutral,-0.0208571428571428
Whaddya think? Today's the big day!,joy,positive,-0.143
"Oh my God. Okay, go into the bathroom, use whatever you want, just don't ever tell me what you did in there.",disgust,negative,-0.0295
Thank you!,joy,positive,-0.147
Where's Joey? His mom's on the phone.,neutral,neutral,-0.0914285714285714
He's in the bathroom. I don't think you wanna go in there!,anger,negative,-0.0648333333333333
"C'mon, we're roommates!  My eyes!! My eyes!!",disgust,negative,-0.10575
"Oh, that would be Monica.",neutral,neutral,-0.1238
"Hey, listen, I wanna borrow a coupla things, Aurora spent the night, I really wanna make her breakfast.",neutral,neutral,-0.1302222222222222
"Oh, you got the whole night, huh?",surprise,positive,-0.0235714285714285
"Yeah, well, I only have twenty minutes until Ethan, so, y'know..",neutral,neutral,-0.1506363636363636
"Ooh, do I sense a little bit of resentment?",surprise,negative,-0.0835555555555555
"No, no resentment, believe me, it's worth it.",neutral,neutral,-0.0392499999999999
'Kay?,neutral,neutral,0.0
Y'know in a relationship you have these key moments that you know you'll remember for the rest of your life?,neutral,neutral,-0.07315
"Well, every- single- second is like that with Aurora.. and I've just wasted about thirty-five of them talking to you people, so, uh.. Monica, can you help me with the door?",neutral,neutral,-0.0896774193548387
"Oh, um, Chandler?",neutral,neutral,-0.1273333333333333
"Y'know, the-the old Monica would-would remind you to scrub that Teflon pan with a plastic brush...But I'm not gonna do that.",neutral,neutral,-0.0486190476190476
"Hey Monica, it's Joey!",joy,positive,-0.122
"Hey Joey! Aww, you remembered even though you're a big star!",joy,positive,-0.077
"Aw, come on! It'll be years before I forget you!",neutral,neutral,-0.1816
"Joey, what's it like on a movie set, huh?",neutral,neutral,-0.0922222222222222
Do you have a dressing room?,neutral,neutral,-0.0933333333333333
Do you have a chair with your name on it?,neutral,neutral,-0.1644
"Yeah, listen uh, I want you to make sure you tell Chandler that he couldn't have been more wrong!",neutral,neutral,-0.1122631578947368
"I gotta go Monica, my uh, my sushi's here!",neutral,neutral,-0.048
Sorry about that. Thanks for waitin'.,neutral,neutral,-0.0425
"Everybody smile!  Okay, thanks a lot! Enjoy your stay at",joy,positive,-0.064
"Wow, this is so cool, you guys. The entire city is blacked out!",surprise,positive,-0.0175384615384615
"Mom says it's all of Manhattan, parts of Brooklyn and Queens, and they have no idea when it's coming back on.",anger,negative,-0.0417619047619047
"Wow, you guys, this is big.",surprise,positive,-0.0196666666666666
Pants and a sweater?,anger,negative,-0.2175
Power company guys?,anger,negative,-0.0253333333333333
Could we talk about this later?,anger,negative,-0.1011666666666666
OK.,neutral,neutral,0.0
Can I borrow the phone? I want to call my apartment and check on my grandma.  What's my number?,neutral,neutral,-0.05805
"Well, I never call",neutral,neutral,-0.04425
Having a swim.,neutral,neutral,-0.026
Are you sure?,neutral,neutral,-0.1533333333333333
I don’t know. Should we try it?,neutral,neutral,-0.0111428571428571
Sure.,neutral,neutral,-0.46
"See, I told you they don’t swim.",neutral,neutral,-0.1134285714285714
Wait. Give him a minute.,neutral,neutral,-0.2832
"Noo!  Oh, it’s okay, it’s okay, baby, baby, baby.",fear,negative,-0.1418
"Me taking care of you is no problem, huh?",neutral,neutral,-0.0344444444444444
You guys feel safe.,neutral,neutral,-0.1125
Right?,neutral,neutral,-0.296
"Okay, I’m gonna take that spit bubble as, ""Yeah, I do!""",neutral,neutral,-0.0174545454545454
"Okay, after I get rid of this dirty diaper Leslie, I’ll set you up with a clean one.",neutral,neutral,-0.064
"Okay, I’m sorry.",sadness,negative,-0.1933333333333333
I just have to clean that up.,neutral,neutral,-0.0018571428571428
Okay?,neutral,neutral,-0.304
"‘Cause let’s face it, we’re at Monica’s.",neutral,neutral,-0.1337142857142857
I broke it.,sadness,negative,-0.0339999999999999
"Okay, good.",neutral,neutral,-0.284
Where is Leslie?,fear,negative,0.0
"Well, you can’t answer.",neutral,neutral,-0.12825
Leslie?,neutral,neutral,0.0
Where are you Leslie?,fear,negative,0.0
"Leslie, now would be a",sadness,negative,-0.172
"Hey, why are you mopping your ceiling?",sadness,negative,-0.0129999999999999
"Oh, there’s banana on it.",neutral,neutral,-0.1644
You said she was bald.,anger,negative,-0.143
"Yeah, she was bald, she’s not now.",neutral,neutral,-0.1709999999999999
How could you not tell me that she has hair?,surprise,negative,-0.1233
"I don’t know, I hardly ever say that about people.",neutral,neutral,-0.1448
"Ohh, well, this is just perfect!",anger,negative,-0.1025
"Well I’m sorry, I thought you said it was okay.",sadness,negative,-0.1574
"Yeah, I said what was okay when I thought she was some weird bald chick. I mean, y'know, that girl has hair got",anger,negative,-0.0508695652173913
"Well, maybe it won’t work out. Maybe Ross won’t like her personality.",sadness,negative,-0.0452499999999999
"Oh no, Bonnie’s the best!",joy,positive,-0.012
"Do you have a minute? I’d like to talk to you about something I’m, I’m really uncomfortable talking about.",fear,negative,-0.05
"Sure. What? About uh, you showering with your mom?",surprise,negative,-0.0824444444444444
"I actually had a topic in mind! I’m, I’m kinda going through a dry spell, sex wise.",anger,negative,-0.0238235294117647
"Whoa, for like months?",surprise,positive,-0.2224999999999999
No!,surprise,negative,0.0
"Ow! My ass. Okay. Okay.  Oh, shhh!",anger,negative,-0.076
Then don't break in!!,anger,negative,-0.128
"Oh yeah, Smokey Joe here got half way to the highway and collapsed.",anger,negative,-0.1125384615384615
I have the lung capacity of a two year old.,neutral,neutral,-0.1848
Well it’s very unsettling.,sadness,negative,-0.06475
Hmm?,neutral,neutral,-0.366
"Do you still have that, um, Navy uniform?",joy,positive,-0.165625
"Nooo, I had to return it to the costume place.",sadness,negative,-0.0915999999999999
Hmm.,neutral,neutral,-0.366
I think I have an old band uniform from high school.,joy,positive,-0.086
Yeah.,sadness,negative,-0.318
"Well honey, what about you?",neutral,neutral,-0.0702
"I mean do you have any fun, you know, fantasy type things?",neutral,neutral,-0.0385
No.,neutral,neutral,0.0
Come on you gotta have one!,surprise,positive,-0.1833333333333333
Ugh!,disgust,negative,-0.21
"I mean if you buy a bed from Janice’s ex-husband, that’s like betraying Chandler.",anger,negative,-0.0408571428571428
Not at these prices.,anger,negative,-0.0125
Hi. Y'know in England this car would be on the other side of the store.  Woo!,joy,positive,-0.0266470588235294
"Oh! Ohhhhh! Oh! Phoebe, come here. Aw, this is my new bed. You gotta feel this bad boy.",joy,positive,-0.0378888888888888
"Eh, Monica it, it feels so weird, y'know, Chandler’s your friend...  Oh!",surprise,positive,-0.0164615384615384
"Aw, all right take this bed, you can make other friends.",joy,positive,-0.1669090909090909
"You know, ever since I was little, I've been able to pick up quarters with my toes.",joy,positive,-0.1034705882352941
"Good for you.  Uh, quarters or rolls of quarters?",joy,positive,-0.0596
"By the way, Chandler. I cut you out of all my pictures. So if you want, I have a bag with just your heads.",anger,negative,-0.0658333333333333
That's OK.,neutral,neutral,0.0
"Oh, are you sure?",surprise,positive,-0.115
"Because you know, you could make little puppets out of them, and you could use them in your theater of cruelty.",anger,negative,-0.0706190476190476
"Well, I added the 'exactly like me' part...",neutral,neutral,-0.148375
"But she said she's looking for someone, and someone is gonna be there tonight.",neutral,neutral,-0.0344999999999999
'Tonight' tonight?,surprise,positive,-0.178
"Well, I think it's perfect.",joy,positive,-0.1566
"Y'know, it's just gonna be the two of us, she spent all day taking care of my monkey...",neutral,neutral,-0.1092777777777777
I can't remember the last time I got a girl to take care of my monkey.,sadness,negative,-0.0395624999999999
"Anyway, I figured after work I'd go pick up a bottle of wine, go over there and, uh, try to woo her.",joy,positive,-0.0024999999999999
"Hey, y'know what you should do? You should take her back to the 1890's, when that phrase was last used.",disgust,negative,-0.0849
"Car's waiting downstairs, I just wanted to drop off these copies of my book for your friends. Anything you want from Lisbon?",neutral,neutral,-0.0398181818181818
"No, just knowing you're gonna be there is enough.",neutral,neutral,-0.0352222222222222
"Alright, well, be good, I love you.",joy,positive,-0.135
"O-kay. Look, it, it was stupid.",sadness,negative,-0.1788333333333333
And I don't even know how it happened.,sadness,negative,-0.07525
"I'm sorry, honey, I promise it will never happen again.",sadness,negative,-0.0755999999999999
Are we okay now?,fear,negative,-0.01275
Yeah. No. No...,anger,negative,-0.106
"Ah, the forbidden love of a man and his door.",neutral,neutral,-0.0321999999999999
Oh there it is.,neutral,neutral,-0.0705
That’s not your regular dry cleaners.,neutral,neutral,-0.1956666666666666
"I also have to find a new video store, a new bank, a new adult bookstore, a new grocery store",disgust,negative,-0.0405
"Yeah, we both can. And we both will.",neutral,neutral,-0.045
"Oh, you didn’t have to come in with me.",neutral,neutral,-0.076
Are you kidding? This is where they get out stains! Okay? This is like,joy,positive,-0.0365714285714285
"I hope you don’t think I’m crazy but I feel like I was meant to pick this up, do you believe in that kind of thing?",joy,positive,-0.0283846153846153
A little.   Now you’re talking.,neutral,neutral,-0.1205714285714285
Would you like to go out and have a cup of coffee?,neutral,neutral,-0.1169166666666666
I-I-I’d love to. Let me just tell my friend.,joy,positive,-0.0437777777777777
"Ooh, an ink stain! Hey, can I watch how you get this out?",joy,positive,-0.0964615384615384
She must’ve left.,neutral,neutral,-0.0866666666666666
Monica! Stop throwing it so hard! We're on the same team!,anger,negative,-0.033090909090909
Four hours? You guys have been doing this for four hours?,surprise,negative,-0.2738181818181818
That's right baby.,joy,positive,-0.1886666666666666
"All right, let me in.",neutral,neutral,-0.11
No-no! Don't do it! Don't!,fear,negative,-0.0539999999999999
He's a dropper!,anger,negative,-0.1893333333333333
"Oh yeah, that's right!",anger,negative,-0.1535
I'm not a dropper!,anger,negative,-0.142
"It's really a uh-uh three person game, y'know?",neutral,neutral,-0.06625
"Whoa-whoa you guys, it's not a cat!",anger,negative,-0.1468571428571428
Oh my—Oh good God!,surprise,negative,-0.057
"Baking it didn't help, huh?",neutral,neutral,-0.1536
"All right, well the place was closed. I’ll just copy it later.",neutral,neutral,-0.2436666666666666
"Whoa! Whoa! Whoa, Joey!",surprise,positive,-0.0795
"Well, it would be easier to move just right across the hall. Wait a minute, unless you’re thinking about Naked Wednesday’s.",neutral,neutral,-0.09
"Thursday’s clearly not good for ya, pick a day!",joy,positive,-0.0886666666666666
"So that’s two boxes of the Holiday Macaroons. On behalf of the Brown Birds of America, I salute you.",joy,positive,-0.1563684210526315
"Just admit it Chandler, you have no backhand.",neutral,neutral,-0.1069999999999999
"Excuse me little one, I have a very solid backhand.",anger,negative,-0.1629
Shielding your face and shrieking like a girl... is not a backhand.,disgust,negative,-0.0875
I was shrieking... like a Marine.,neutral,neutral,-0.0725
She's not much of a phone person.,neutral,neutral,-0.0837142857142857
"Yeah, so, uh, so, uh, what's the deal with this father guy, I mean, if someone was havin' my baby somewhere, I'd wanna know about it, you know?",neutral,neutral,-0.0915357142857142
"Hey, Knick fan, am I interested in your views on fatherhood? Uh, no.",anger,negative,-0.0499999999999999
"Ok, look, maybe I should just go.",neutral,neutral,-0.0371428571428571
Maybe you should.,anger,negative,0.0
"Good luck, and uh, take care, huh?",sadness,negative,-0.1154285714285714
"Oh, that is so not true.",neutral,neutral,-0.0085
"Oh, it is.",neutral,neutral,-0.0939999999999999
It isn't.,neutral,neutral,-0.141
It is.,neutral,neutral,-0.141
Isn't!,anger,negative,0.0
"Okay ladies, that ends today’s class, and let’s remember, let’s be safe out there.",neutral,neutral,-0.1403571428571428
It’s a great class.,joy,positive,-0.0104999999999999
Thanks.,neutral,neutral,-0.056
"Yeah, yeah, I was watching.",neutral,neutral,-0.1437999999999999
"Umm, hey, a couple of questions though.",neutral,neutral,-0.0927142857142857
"Umm, about that-that-that last move where the woman tripped you and then pinned you to the floor, what-what-what-what would you do next?",fear,negative,-0.0558181818181818
"Well, she would take her keys and try to jam them",neutral,neutral,-0.0557272727272727
No. No-no. No. What would,anger,negative,-0.026
No-no—Really?!,surprise,positive,0.0
Of course!,joy,positive,-0.01
"Ohh, I’m sorry.",sadness,negative,-0.1913333333333333
Well maybe there is one thing you can do.,neutral,neutral,-0.1531111111111111
"Well, I umm, I mean this is just off the top of my head now, umm but I have this friend.",neutral,neutral,-0.0893809523809523
"This actor friend and he would kill me if he thought I was doing this umm, but umm would it be possible for him to get an audition for your movie say on Thursday?",fear,negative,-0.0532647058823529
"Well, the heart wants what it wants. I’ll see you later.",neutral,neutral,-0.0657272727272727
"Okay, I got that. I’ll escape over there. I’ll come back over here. All right, come on",neutral,neutral,-0.0276470588235294
"Hey, you guys. Listen, I’m sorry that I was hogging the game before——Oh my God! Your friends have some unfortunate initials!",sadness,negative,-0.0486666666666666
They’re all Chandler.,neutral,neutral,-0.032
Chandler sucks! He couldn’t have gotten this good!,surprise,negative,-0.0655
But Ben is coming over tonight and he can’t see this.,fear,negative,-0.0699090909090909
"Oh come on, by age seven kids have already seen orgies.  Was it just me?!",surprise,negative,-0.08875
Sure!,joy,positive,-0.46
"Okay, I was thinking we should have a beautiful guest room, right?",neutral,neutral,-0.0945833333333333
With a mahogany sleigh bed and bedside tables with flowers on them all the time!,joy,positive,-0.2136
And we could have a roll top desk with comment cards on them so people could say how much they loved staying here!!,joy,positive,-0.1168260869565217
"Okay, whatever, I really haven’t thought about it that much.",neutral,neutral,-0.1079
"Well, I like that idea.",joy,positive,-0.0799999999999999
Obviously!,joy,positive,0.0
"I was thinking maybe-maybe-maybe it could be a game room, y’know?",neutral,neutral,-0.1371818181818181
No.,disgust,negative,0.0
"Oh, I’m sorry. Of course I mean that. Interesting idea, umm, talk about it, but no.",disgust,negative,-0.0446875
"So, that’s it?",surprise,negative,-0.0939999999999999
I just don’t think arcade games go in the beautiful guest room. The beautiful guest room is gonna be filled with antiques.,neutral,neutral,-0.0113181818181818
What do you have against the beautiful guest room?,anger,negative,-0.0233333333333333
"I don’t have anything against the beautiful guest room, especially since everybody we know lives about 30 seconds away!",anger,negative,-0.043
"Y'know, I love doing crossword puzzles with you honey!",joy,positive,-0.0017777777777777
"Aww, me too. Now let's finish this and go to bed.",joy,positive,-0.1349090909090909
"Okay! There's only one left, three letter word, not dog but",neutral,neutral,-0.2238181818181818
Cat.,neutral,neutral,-0.48
"I never sucked, I actually didn't want you to know how good I was!",neutral,neutral,-0.0366428571428571
That's,neutral,neutral,0.0
"Hey. Okay, I gave him another chance, but Tim has",neutral,neutral,-0.0058999999999999
But,neutral,neutral,0.0
"Okay. Okay, but you can’t fire him today.",neutral,neutral,-0.0485
Because I’m dumping him today.,neutral,neutral,-0.1026
What?! You said he was sweet!,surprise,negative,-0.0335
He,neutral,neutral,0.0
"Then he comes over!  ""I’m so worried about you."" Uck! Be a man!",disgust,negative,-0.0212142857142857
"Okay well then, I’ll fire him today and you go out with him for another week.",neutral,neutral,-0.075875
"Okay well, then we’ll both do it today and he’ll just have to deal with it!",neutral,neutral,-0.1030625
"Well, I-I guess I gotta go.",sadness,negative,-0.0751666666666666
"Oh, my Bing-a-ling. I’ll wait for you. Do you even know how long you’re going to be gone?",sadness,negative,-0.083
"Oh. Well, I’ll right you everyday.  15 Yemen Road, Yemen.",neutral,neutral,-0.0875454545454545
"Okay, good-bye. Good-bye.",sadness,negative,-0.2493333333333333
Chandler?,neutral,neutral,-0.096
No!,anger,negative,0.0
Chandler!,surprise,positive,-0.096
Janice!,surprise,positive,0.0
There you are!,surprise,positive,0.0
"Ohh, my new assistant is working out, yes.",neutral,neutral,-0.030375
Oh hey!,surprise,positive,-0.103
"Can you, can you hang on a second?",neutral,neutral,-0.1352499999999999
It’s the producers over at Mac and C.H.E.E.S.E.,neutral,neutral,-0.035125
can you excuse me for a minute?,neutral,neutral,-0.0471428571428571
I was just looking over next week’s script.,neutral,neutral,-0.03775
Canceled?!,surprise,negative,0.0
Like they’re taking it off the air?,surprise,negative,-0.1785714285714285
Ohh.,neutral,neutral,-0.298
"All right, see you Monday.",neutral,neutral,-0.1516
We’re not even shootin’ them anymore?!!,surprise,negative,-0.0466666666666666
"All right, bye!",anger,negative,-0.1666666666666666
They canceled Mac and C.H.E.E.S.E!,anger,negative,-0.088
Sorry.,sadness,negative,-0.276
I’m sorry Joey.,sadness,negative,-0.092
I know. I like it up here.,joy,positive,-0.0088571428571428
I feel like we’re the only two people in the world.  Oops. Sorry.,joy,positive,-0.0597142857142857
What’s the matter honey? Did you see a little mouse?,neutral,neutral,-0.1025
"Well, okay. Would-would you get me a",neutral,neutral,-0.0535714285714285
Okay. I’ll be right back.,neutral,neutral,-0.2828
Okay.  What?! What are you doing here?!,surprise,negative,-0.0265
"Yeah, I recognize the ankles!",neutral,neutral,-0.2279999999999999
Here you go honey!,joy,positive,-0.064
Ahh. Thank you!,joy,positive,-0.1666666666666666
Diet Coke,neutral,neutral,-0.304
"Ohh,",neutral,neutral,-0.298
"Perhaps. Now I’m curious, at what point during those girlish screams would you have begun to",neutral,neutral,-0.0364375
